月份,監測項目,監測站,測站編號,有效測定日數(日),測定時數(時),月平均值(ppm),一小時值超過35ppm之時數(時),一小時值超過35ppm之時數(%),連續8小時之平均值超過9ppm次數(次),日平均值超過10ppm日數(日),日平均值超過10ppm日數(%),一小時值之最高值(ppm),一小時值之最高值(發生日),一小時值之最高值(發生時),連續8小時平均值之最高值(ppm)
104年1月,一氧化碳,中正站,2533616A0015,31,708,0.99,0,0,0,0,0,5.32,5,19,2.91
104年1月,一氧化碳,大直站,2533916A0007,30,699,0.77,0,0,0,0,0,3.02,5,9,1.87
104年1月,一氧化碳,信義站,2534516A0004,31,706,0.81,0,0,0,0,0,2.74,5,20,2.57
104年1月,一氧化碳,南港站,2534116A0005,26,651,0.59,0,0,0,0,0,2.25,5,21,1.77
104年1月,一氧化碳,內湖站,2534216A0011,31,703,0.79,0,0,0,0,0,2.93,16,10,2.31
104年1月,一氧化碳,木柵站,2534016A0012,26,653,0.53,0,0,0,0,0,1.99,5,18,1.54
104年1月,一氧化碳,承德站,2534316T0025,29,688,1.29,0,0,0,0,0,4.87,5,17,2.84
104年1月,一氧化碳,中北站,2533916T0022,31,708,1.57,0,0,0,0,0,6.81,5,20,4.58
104年2月,一氧化碳,中正站,2533616A0015,28,638,0.98,0,0,0,0,0,3.07,25,23,1.77
104年2月,一氧化碳,大直站,2533916A0007,28,618,0.59,0,0,0,0,0,2.34,16,9,1.27
104年2月,一氧化碳,信義站,2534516A0004,28,638,0.68,0,0,0,0,0,1.87,25,23,1.49
104年2月,一氧化碳,南港站,2534116A0005,28,625,0.62,0,0,0,0,0,2.25,13,22,1.54
104年2月,一氧化碳,內湖站,2534216A0011,28,636,0.87,0,0,0,0,0,2.62,16,9,1.69
104年2月,一氧化碳,木柵站,2534016A0012,26,619,0.63,0,0,0,0,0,1.47,23,19,1.2
104年2月,一氧化碳,承德站,2534316T0025,28,639,1.2,0,0,0,0,0,4.31,26,7,2.56
104年2月,一氧化碳,中北站,2533916T0022,28,639,1.53,0,0,0,0,0,5.4,16,8,2.76
104年3月,一氧化碳,中正站,2533616A0015,31,704,0.96,0,0,0,0,0,3.26,26,22,2.66
104年3月,一氧化碳,大直站,2533916A0007,29,686,0.66,0,0,0,0,0,2.31,13,9,1.75
104年3月,一氧化碳,信義站,2534516A0004,31,697,0.69,0,0,0,0,0,1.73,30,9,1.39
104年3月,一氧化碳,南港站,2534116A0005,31,703,0.65,0,0,0,0,0,2.09,17,9,1.66
104年3月,一氧化碳,內湖站,2534216A0011,28,700,0.7,0,0,0,0,0,1.81,2,23,1.53
104年3月,一氧化碳,木柵站,2534016A0012,29,666,0.62,0,0,0,0,0,1.87,8,22,1.45
104年3月,一氧化碳,承德站,2534316T0025,31,705,1.24,0,0,0,0,0,4.51,2,22,3.47
104年3月,一氧化碳,中北站,2533916T0022,31,706,1.58,0,0,0,0,0,4.75,26,22,3.09
104年4月,一氧化碳,中正站,2533616A0015,30,680,0.92,0,0,0,0,0,2.35,17,23,2.06
104年4月,一氧化碳,大直站,2533916A0007,29,675,0.58,0,0,0,0,0,1.59,16,22,1.13
104年4月,一氧化碳,信義站,2534516A0004,30,679,0.54,0,0,0,0,0,1.51,20,8,1.08
104年4月,一氧化碳,南港站,2534116A0005,30,679,0.58,0,0,0,0,0,1.93,12,4,1.12
104年4月,一氧化碳,內湖站,2534216A0011,29,675,0.73,0,0,0,0,0,1.71,19,22,1.34
104年4月,一氧化碳,木柵站,2534016A0012,29,656,0.52,0,0,0,0,0,1.02,1,12,0.91
104年4月,一氧化碳,承德站,2534316T0025,30,665,1.13,0,0,0,0,0,3.28,19,23,2.59
104年4月,一氧化碳,中北站,2533916T0022,30,685,1.53,0,0,0,0,0,4.5,17,8,2.81
104年5月,一氧化碳,中正站,2533616A0015,29,690,0.91,0,0,0,0,0,3.57,11,19,2.23
104年5月,一氧化碳,大直站,2533916A0007,31,702,0.66,0,0,0,0,0,1.93,7,4,1.63
104年5月,一氧化碳,信義站,2534516A0004,29,673,0.52,0,0,0,0,0,1.89,6,19,1.55
104年5月,一氧化碳,南港站,2534116A0005,29,667,0.5,0,0,0,0,0,2.32,6,19,1.41
104年5月,一氧化碳,內湖站,2534216A0011,31,735,0.81,0,0,0,0,0,2.47,27,22,1.78
104年5月,一氧化碳,木柵站,2534016A0012,28,659,0.49,0,0,0,0,0,1.48,6,22,1.12
104年5月,一氧化碳,承德站,2534316T0025,30,717,1.46,0,0,0,0,0,4.7,22,7,4.7
104年5月,一氧化碳,中北站,2533916T0022,31,710,1.77,0,0,0,0,0,4.84,27,8,3.86
104年6月,一氧化碳,中正站,2533616A0015,30,689,0.83,0,0,0,0,0,3.08,29,20,1.49
104年6月,一氧化碳,大直站,2533916A0007,27,616,0.63,0,0,0,0,0,1.36,24,20,1.05
104年6月,一氧化碳,信義站,2534516A0004,26,597,0.44,0,0,0,0,0,1.02,14,21,0.84
104年6月,一氧化碳,南港站,2534116A0005,27,652,0.59,0,0,0,0,0,1.34,18,20,0.99
104年6月,一氧化碳,內湖站,2534216A0011,30,686,0.82,0,0,0,0,0,1.53,14,23,1.32
104年6月,一氧化碳,木柵站,2534016A0012,30,666,0.64,0,0,0,0,0,1.11,14,12,1.06
104年6月,一氧化碳,承德站,2534316T0025,30,702,1.2,0,0,0,0,0,3.91,2,18,2.31
104年6月,一氧化碳,中北站,2533916T0022,30,690,1.65,0,0,0,0,0,5.02,24,19,3.93
104年7月,一氧化碳,中正站,2533616A0015,31,709,0.84,0,0,0,0,0,2.42,11,19,1.67
104年7月,一氧化碳,大直站,2533916A0007,31,692,0.57,0,0,0,0,0,1.47,28,18,1.1
104年7月,一氧化碳,信義站,2534516A0004,31,700,0.49,0,0,0,0,0,1.2,24,19,0.95
104年7月,一氧化碳,南港站,2534116A0005,28,658,0.4,0,0,0,0,0,1.12,3,23,1.08
104年7月,一氧化碳,內湖站,2534216A0011,30,699,0.76,0,0,0,0,0,1.51,24,20,1.36
104年7月,一氧化碳,木柵站,2534016A0012,30,693,0.58,0,0,0,0,0,1.17,23,10,0.92
104年7月,一氧化碳,承德站,2534316T0025,29,688,1.03,0,0,0,0,0,3.51,28,18,2.51
104年7月,一氧化碳,中北站,2533916T0022,31,706,1.74,0,0,0,0,0,5.03,28,18,3.7
104年8月,一氧化碳,中正站,2533616A0015,30,694,0.94,0,0,0,0,0,1.91,11,19,1.6
104年8月,一氧化碳,大直站,2533916A0007,26,636,0.51,0,0,0,0,0,1.23,11,22,1.07
104年8月,一氧化碳,信義站,2534516A0004,27,597,0.55,0,0,0,0,0,1.29,10,0,1.29
104年8月,一氧化碳,南港站,2534116A0005,27,650,0.61,0,0,0,0,0,1.81,1,23,1.58
104年8月,一氧化碳,內湖站,2534216A0011,29,675,0.75,0,0,0,0,0,1.55,28,8,1.23
104年8月,一氧化碳,木柵站,2534016A0012,30,685,0.3,0,0,0,0,0,1.09,28,11,0.67
104年8月,一氧化碳,承德站,2534316T0025,29,685,1.06,0,0,0,0,0,3.67,18,8,2.25
104年8月,一氧化碳,中北站,2533916T0022,29,681,1.65,0,0,0,0,0,5.47,26,8,3.22
104年9月,一氧化碳,中正站,2533616A0015,27,643,0.93,0,0,0,0,0,2.9,4,18,1.63
104年9月,一氧化碳,大直站,2533916A0007,29,660,0.49,0,0,0,0,0,1.41,1,8,1.03
104年9月,一氧化碳,信義站,2534516A0004,27,617,0.5,0,0,0,0,0,1.02,4,9,0.83
104年9月,一氧化碳,南港站,2534116A0005,20,505,0.54,0,0,0,0,0,1.57,2,8,1.12
104年9月,一氧化碳,內湖站,2534216A0011,26,630,0.77,0,0,0,0,0,1.64,2,20,1.29
104年9月,一氧化碳,木柵站,2534016A0012,28,666,0.34,0,0,0,0,0,1.4,22,12,1.14
104年9月,一氧化碳,承德站,2534316T0025,28,649,1.52,0,0,0,0,0,5.84,30,7,3.18
104年9月,一氧化碳,中北站,2533916T0022,30,677,1.68,0,0,0,0,0,5.27,21,8,3.51
104年10月,一氧化碳,中正站,2533616A0015,31,703,0.89,0,0,0,0,0,2.19,27,8,1.6
104年10月,一氧化碳,大直站,2533916A0007,28,661,0.53,0,0,0,0,0,1.35,29,21,1.15
104年10月,一氧化碳,信義站,2534516A0004,28,637,0.62,0,0,0,0,0,8,7,12,1.78
104年10月,一氧化碳,南港站,2534116A0005,30,693,0.46,0,0,0,0,0,1.55,29,8,1.06
104年10月,一氧化碳,內湖站,2534216A0011,30,711,0.69,0,0,0,0,0,1.53,27,0,1.28
104年10月,一氧化碳,木柵站,2534016A0012,30,689,0.39,0,0,0,0,0,1.18,29,14,0.89
104年10月,一氧化碳,承德站,2534316T0025,28,671,1.35,0,0,0,0,0,5.07,23,8,2.87
104年10月,一氧化碳,中北站,2533916T0022,31,702,1.59,0,0,0,0,0,5.31,29,8,2.94
