月份,監測項目,監測站,測站編號,有效測定日數(日),測定時數(時),月平均值(ppb),一小時值超過0.25ppm時數(時),一小時值超過0.25ppm時數(%),日平均值超過0.1ppm日數(日),日平均值超過0.1ppm日數(%),一小時值之最高值(ppb),一小時值之最高值(發生日),一小時值之最高值(發生時),日平均值之最高值(ppb),日平均值之最高值(發生日期)
104年1月,二氧化硫,中正站,2533616A0015,31,710,2.56,0,0,0,0,9.3,1,1,4.46,1
104年1月,二氧化硫,大直站,2533916A0007,29,692,3.76,0,0,0,0,11.2,17,8,6.32,22
104年1月,二氧化硫,信義站,2534516A0004,31,705,2.88,0,0,0,0,14.8,26,10,4.69,1
104年1月,二氧化硫,南港站,2534116A0005,31,707,3.28,0,0,0,0,15.75,4,16,5.68,26
104年1月,二氧化硫,內湖站,2534216A0011,30,691,4.25,0,0,0,0,14.56,4,17,7.28,4
104年1月,二氧化硫,木柵站,2534016A0012,26,664,2.36,0,0,0,0,11.88,26,16,4.91,1
104年1月,二氧化硫,承德站,2534316T0025,29,688,3.56,0,0,0,0,9.5,1,0,5.24,22
104年1月,二氧化硫,中北站,2533916T0022,31,697,2.5,0,0,0,0,7.9,6,13,4.94,6
104年2月,二氧化硫,中正站,2533616A0015,28,636,2.47,0,0,0,0,13.6,16,17,4.85,12
104年2月,二氧化硫,大直站,2533916A0007,27,617,2.46,0,0,0,0,20.26,24,19,5.26,18
104年2月,二氧化硫,信義站,2534516A0004,28,637,3.02,0,0,0,0,13.9,22,14,5.36,12
104年2月,二氧化硫,南港站,2534116A0005,28,633,3.46,0,0,0,0,21.96,16,16,6.18,15
104年2月,二氧化硫,內湖站,2534216A0011,28,634,3.86,0,0,0,0,11.83,24,19,5.57,16
104年2月,二氧化硫,木柵站,2534016A0012,27,628,2.03,0,0,0,0,10.49,15,21,3.47,8
104年2月,二氧化硫,承德站,2534316T0025,28,639,4.21,0,0,0,0,17.27,6,17,8.33,6
104年2月,二氧化硫,中北站,2533916T0022,28,639,2.47,0,0,0,0,10.3,17,15,4.3,12
104年3月,二氧化硫,中正站,2533616A0015,31,706,2.84,0,0,0,0,17.8,16,21,6.36,16
104年3月,二氧化硫,大直站,2533916A0007,27,662,2.24,0,0,0,0,17.83,19,17,4.81,16
104年3月,二氧化硫,信義站,2534516A0004,31,694,2.81,0,0,0,0,22.7,16,19,5.72,14
104年3月,二氧化硫,南港站,2534116A0005,31,702,4.43,0,0,0,0,36.96,14,17,8.82,14
104年3月,二氧化硫,內湖站,2534216A0011,31,693,4.15,0,0,0,0,36.77,19,18,10.46,19
104年3月,二氧化硫,木柵站,2534016A0012,31,691,2.17,0,0,0,0,23.64,14,17,6.27,16
104年3月,二氧化硫,承德站,2534316T0025,30,683,3.97,0,0,0,0,23.12,12,23,7.8,28
104年3月,二氧化硫,中北站,2533916T0022,31,706,2.69,0,0,0,0,16.4,16,21,6.3,16
104年4月,二氧化硫,中正站,2533616A0015,29,670,2.87,0,0,0,0,20.3,16,18,6.59,30
104年4月,二氧化硫,大直站,2533916A0007,28,667,2.65,0,0,0,0,28.46,30,17,6.94,25
104年4月,二氧化硫,信義站,2534516A0004,30,679,2.99,0,0,0,0,20.2,5,17,5.43,3
104年4月,二氧化硫,南港站,2534116A0005,30,676,4.97,0,0,0,0,51.14,16,17,9.55,16
104年4月,二氧化硫,內湖站,2534216A0011,29,659,3.76,0,0,0,0,23.8,1,15,7.65,19
104年4月,二氧化硫,木柵站,2534016A0012,29,653,2.18,0,0,0,0,19.15,2,15,4.95,3
104年4月,二氧化硫,承德站,2534316T0025,30,669,3.94,0,0,0,0,25.29,6,12,7.51,30
104年4月,二氧化硫,中北站,2533916T0022,30,685,2.87,0,0,0,0,23.1,30,15,8.17,30
104年5月,二氧化硫,中正站,2533616A0015,29,689,3.01,0,0,0,0,26,26,10,5.46,26
104年5月,二氧化硫,大直站,2533916A0007,31,701,2.84,0,0,0,0,30.7,10,2,6.17,26
104年5月,二氧化硫,信義站,2534516A0004,29,673,3.01,0,0,0,0,25.7,15,14,7.1,15
104年5月,二氧化硫,南港站,2534116A0005,29,663,3.79,0,0,0,0,42.3,15,14,11.13,15
104年5月,二氧化硫,內湖站,2534216A0011,29,651,4.59,0,0,0,0,37.9,14,15,8.83,27
104年5月,二氧化硫,木柵站,2534016A0012,29,672,1.79,0,0,0,0,21.09,7,16,5.17,15
104年5月,二氧化硫,承德站,2534316T0025,30,680,3.68,0,0,0,0,26.3,7,21,7,7
104年5月,二氧化硫,中北站,2533916T0022,31,704,2.92,0,0,0,0,16,14,16,4.7,14
104年6月,二氧化硫,中正站,2533616A0015,30,673,2.9,0,0,0,0,31.1,15,17,4.89,15
104年6月,二氧化硫,大直站,2533916A0007,27,614,2.25,0,0,0,0,14.19,10,9,4.03,10
104年6月,二氧化硫,信義站,2534516A0004,26,592,2.97,0,0,0,0,23.4,2,19,4.98,10
104年6月,二氧化硫,南港站,2534116A0005,27,651,3.93,0,0,0,0,50.29,16,15,8.11,16
104年6月,二氧化硫,內湖站,2534216A0011,29,673,6.12,0,0,0,0,44.41,16,16,11.23,16
104年6月,二氧化硫,木柵站,2534016A0012,27,624,2.44,0,0,0,0,17.8,14,13,6.44,15
104年6月,二氧化硫,承德站,2534316T0025,30,683,2.46,0,0,0,0,16.3,22,17,3.71,16
104年6月,二氧化硫,中北站,2533916T0022,30,682,2.9,0,0,0,0,21.4,22,17,4.82,22
104年7月,二氧化硫,中正站,2533616A0015,30,659,3.07,0,0,0,0,26.5,14,17,9.76,21
104年7月,二氧化硫,大直站,2533916A0007,31,688,2.16,0,0,0,0,32.44,20,17,6.35,20
104年7月,二氧化硫,信義站,2534516A0004,29,654,2.98,0,0,0,0,27.3,21,15,6.83,21
104年7月,二氧化硫,南港站,2534116A0005,29,678,3.84,0,0,0,0,48.12,21,15,8.69,25
104年7月,二氧化硫,內湖站,2534216A0011,29,679,4.89,0,0,0,0,44.7,21,10,10.61,21
104年7月,二氧化硫,木柵站,2534016A0012,29,654,2.58,0,0,0,0,36,22,15,7.74,31
104年7月,二氧化硫,承德站,2534316T0025,30,695,2.93,0,0,0,0,37.7,20,17,6.68,20
104年7月,二氧化硫,中北站,2533916T0022,30,695,3.11,0,0,0,0,25.9,21,10,6.33,20
104年8月,二氧化硫,中正站,2533616A0015,28,627,3.16,0,0,0,0,24.4,1,16,5.64,4
104年8月,二氧化硫,大直站,2533916A0007,25,616,2.08,0,0,0,0,23,10,20,5.49,4
104年8月,二氧化硫,信義站,2534516A0004,22,550,3.25,0,0,0,0,29.3,1,15,7.6,1
104年8月,二氧化硫,南港站,2534116A0005,26,634,3.33,0,0,0,0,49.5,1,16,8.89,6
104年8月,二氧化硫,內湖站,2534216A0011,26,608,2.57,0,0,0,0,21.8,5,17,6.7,4
104年8月,二氧化硫,木柵站,2534016A0012,27,614,3.53,0,0,0,0,22.1,1,14,6.77,12
104年8月,二氧化硫,承德站,2534316T0025,29,686,2.56,0,0,0,0,29.5,10,20,5.04,10
104年8月,二氧化硫,中北站,2533916T0022,28,663,2.76,0,0,0,0,22.7,25,17,6.29,4
104年9月,二氧化硫,中正站,2533616A0015,27,631,3.05,0,0,0,0,46.6,25,15,9.13,25
104年9月,二氧化硫,大直站,2533916A0007,26,617,1.96,0,0,0,0,29.9,22,18,7.74,22
104年9月,二氧化硫,信義站,2534516A0004,27,622,2.01,0,0,0,0,16.5,25,13,4.94,25
104年9月,二氧化硫,南港站,2534116A0005,21,532,2.9,0,0,0,0,58.2,25,15,10.37,25
104年9月,二氧化硫,內湖站,2534216A0011,26,629,2.14,0,0,0,0,5.2,25,16,3.34,18
104年9月,二氧化硫,木柵站,2534016A0012,27,651,2.62,0,0,0,0,27.3,22,14,6.03,22
104年9月,二氧化硫,承德站,2534316T0025,25,603,2.27,0,0,0,0,30.7,22,18,5.58,2
104年9月,二氧化硫,中北站,2533916T0022,30,677,2.76,0,0,0,0,25.8,22,16,6.04,22
104年10月,二氧化硫,中正站,2533616A0015,31,701,3.14,0,0,0,0,22.6,7,16,6.6,7
104年10月,二氧化硫,大直站,2533916A0007,27,648,3.62,0,0,0,0,24.1,7,21,7.92,7
104年10月,二氧化硫,信義站,2534516A0004,29,659,2.24,0,0,0,0,12.9,27,17,3.12,27
104年10月,二氧化硫,南港站,2534116A0005,29,686,2.1,0,0,0,0,27.1,7,15,5.76,7
104年10月,二氧化硫,內湖站,2534216A0011,30,684,1.98,0,0,0,0,6.6,7,14,3.82,18
104年10月,二氧化硫,木柵站,2534016A0012,29,667,2.25,0,0,0,0,13.6,30,13,5.8,30
104年10月,二氧化硫,承德站,2534316T0025,28,679,5.4,0,0,0,0,38,7,21,13.51,7
104年10月,二氧化硫,中北站,2533916T0022,31,702,2.76,0,0,0,0,14.7,7,16,4.18,21
104年11月,二氧化硫,中正站,2533616A0015,30,665,3.29,0,0,0,0,20.3,8,16,6.51,8
104年11月,二氧化硫,大直站,2533916A0007,28,648,3.88,0,0,0,0,26.1,19,14,8.1,19
104年11月,二氧化硫,信義站,2534516A0004,30,663,1.73,0,0,0,0,15,8,14,4.87,8
104年11月,二氧化硫,南港站,2534116A0005,26,625,2.09,0,0,0,0,16.89,28,13,4.33,18
104年11月,二氧化硫,內湖站,2534216A0011,26,640,2.35,0,0,0,0,22.3,5,8,5.29,5
104年11月,二氧化硫,木柵站,2534016A0012,22,541,3,0,0,0,0,17.8,7,16,5.32,7
104年11月,二氧化硫,承德站,2534316T0025,26,631,4.06,0,0,0,0,18,28,8,9,20
104年11月,二氧化硫,中北站,2533916T0022,30,682,2.97,0,0,0,0,22,8,17,6.13,8
104年12月,二氧化硫,中正站,2533616A0015,29,665,3.49,0,0,0,0,19.7,23,15,8.63,21
104年12月,二氧化硫,大直站,2533916A0007,31,702,3.8,0,0,0,0,26.1,13,21,7.52,13
104年12月,二氧化硫,信義站,2534516A0004,31,701,2.54,0,0,0,0,27,23,14,5.76,21
104年12月,二氧化硫,南港站,2534116A0005,25,615,2.65,0,0,0,0,28.9,23,14,6.5,23
104年12月,二氧化硫,內湖站,2534216A0011,28,646,2.49,0,0,0,0,7.2,21,2,5.25,16
104年12月,二氧化硫,木柵站,2534016A0012,31,707,3.9,0,0,0,0,21.8,23,15,8.47,16
104年12月,二氧化硫,承德站,2534316T0025,29,673,4.02,0,0,0,0,26.6,23,20,8.94,13
104年12月,二氧化硫,中北站,2533916T0022,31,719,3.2,0,0,0,0,21.8,23,15,7.04,21
105年1月,二氧化硫,中正站,2533616A0015,31,648,3.24,0,0,0,0,13.4,10,14,5.7,28
105年1月,二氧化硫,大直站,2533916A0007,31,655,3.23,0,0,0,0,11.7,2,3,5.33,1
105年1月,二氧化硫,信義站,2534516A0004,31,661,2.61,0,0,0,0,15.5,10,16,4.63,10
105年1月,二氧化硫,南港站,2534116A0005,28,623,2.08,0,0,0,0,21.2,10,14,5.43,5
