月份,監測項目,監測站,測站編號,有效測定日數(日),測定時數(時),月平均值(ppb),一小時值超過0.12ppm時數(時),一小時值超過0.12ppm時數(%),八小時平均值超過0.06ppm之次數(次),八小時平均值超過0.06ppm之次數(%),一小時值之最高值(ppb),一小時值之最高值(發生日),一小時值之最高值(發生時),每日一小時值最高值之月平均值(ppb)
104年1月,臭氧,中正站,2533616A0015,31,709,29.01,0,0,0,0,61.9,12,4,44.35
104年1月,臭氧,大直站,2533916A0007,31,701,31.4,0,0,0,0,62.62,22,17,44.38
104年1月,臭氧,信義站,2534516A0004,31,710,31.12,0,0,0,0,65.1,22,15,45.15
104年1月,臭氧,南港站,2534116A0005,31,708,29.01,0,0,0,0,67.83,22,16,45.58
104年1月,臭氧,內湖站,2534216A0011,31,704,22.7,0,0,0,0,53.71,12,4,38.33
104年1月,臭氧,木柵站,2534016A0012,27,668,34.99,0,0,6,0.9,74.55,22,14,51.2
104年1月,臭氧,承德站,2534316T0025,29,690,22.61,0,0,0,0,62.71,12,2,38.33
104年1月,臭氧,中北站,2533916T0022,31,707,17.08,0,0,0,0,52.1,12,4,32.42
104年2月,臭氧,中正站,2533616A0015,28,637,28.68,0,0,8,1.3,73.9,17,12,47.31
104年2月,臭氧,大直站,2533916A0007,28,609,31.57,0,0,10,1.6,73.35,19,4,47.62
104年2月,臭氧,信義站,2534516A0004,28,638,31.13,0,0,12,1.9,67.1,13,14,47.41
104年2月,臭氧,南港站,2534116A0005,28,635,28.97,0,0,4,0.6,65.45,19,3,46.64
104年2月,臭氧,內湖站,2534216A0011,26,602,23.22,0,0,0,0,60.27,19,4,40.08
104年2月,臭氧,木柵站,2534016A0012,27,631,34.65,0,0,53,8.4,79.61,15,12,54.66
104年2月,臭氧,承德站,2534316T0025,28,641,23.72,0,0,0,0,68.55,19,3,40.67
104年2月,臭氧,中北站,2533916T0022,28,643,19.35,0,0,0,0,61.6,19,4,34.24
104年3月,臭氧,中正站,2533616A0015,31,705,28.74,0,0,20,2.8,98.3,30,13,54.22
104年3月,臭氧,大直站,2533916A0007,30,670,32.97,0,0,23,3.4,84.48,31,12,53.51
104年3月,臭氧,信義站,2534516A0004,31,708,32.32,0,0,23,3.2,100.3,31,12,55.55
104年3月,臭氧,南港站,2534116A0005,31,702,28.99,0,0,17,2.4,101.5,31,12,52.68
104年3月,臭氧,內湖站,2534216A0011,31,700,25.37,0,0,8,1.1,88.9,31,12,49.3
104年3月,臭氧,木柵站,2534016A0012,31,694,33.42,0,0,38,5.5,115.52,30,13,64.39
104年3月,臭氧,承德站,2534316T0025,31,710,22.93,0,0,4,0.6,74.22,31,12,45.82
104年3月,臭氧,中北站,2533916T0022,31,710,15.02,0,0,0,0,61.1,23,4,36.8
104年4月,臭氧,中正站,2533616A0015,30,682,32.59,0,0,40,5.9,109.9,2,11,63.44
104年4月,臭氧,大直站,2533916A0007,30,677,34.36,0,0,13,1.9,98.73,2,12,58.13
104年4月,臭氧,信義站,2534516A0004,30,682,34.14,1,0.1,48,7,123.6,2,12,64.91
104年4月,臭氧,南港站,2534116A0005,30,682,30.48,0,0,29,4.3,103.56,3,12,61.07
104年4月,臭氧,內湖站,2534216A0011,29,674,27.21,0,0,5,0.7,102.5,2,12,57.15
104年4月,臭氧,木柵站,2534016A0012,29,657,35.9,1,0.2,78,11.9,125.99,3,13,71.43
104年4月,臭氧,承德站,2534316T0025,30,673,24.43,0,0,6,0.9,81.63,2,11,53.24
104年4月,臭氧,中北站,2533916T0022,30,687,19.17,0,0,0,0,64.4,5,14,43.47
104年5月,臭氧,中正站,2533616A0015,29,690,25.9,0,0,14,2,99.4,14,10,56.32
104年5月,臭氧,大直站,2533916A0007,30,685,26.57,0,0,5,0.7,83.6,13,12,49.73
104年5月,臭氧,信義站,2534516A0004,29,677,26.28,0,0,15,2.2,102.6,13,13,55.65
104年5月,臭氧,南港站,2534116A0005,29,673,23.04,0,0,8,1.2,90.2,13,13,47.02
104年5月,臭氧,內湖站,2534216A0011,31,734,21.02,0,0,4,0.5,83.3,13,15,49.35
104年5月,臭氧,木柵站,2534016A0012,29,678,27.85,1,0.1,22,3.2,131.82,13,13,61.08
104年5月,臭氧,承德站,2534316T0025,30,678,20.68,0,0,2,0.3,86,2,13,44.79
104年5月,臭氧,中北站,2533916T0022,31,710,13.85,0,0,0,0,59.5,14,10,35.23
104年6月,臭氧,中正站,2533616A0015,30,687,25.01,0,0,4,0.6,88.9,14,10,63.43
104年6月,臭氧,大直站,2533916A0007,27,616,22.07,0,0,0,0,71.4,2,11,50.71
104年6月,臭氧,信義站,2534516A0004,26,604,24.34,0,0,3,0.5,93.6,10,11,57.66
