月份,監測項目,監測站,測站編號,測定時數(時),月平均值(ppm),上午6-9時3小時之平均值(ppm),上午6-9時之測定日數(日),上午6至9時3小時平均值最高值ppm,上午6至9時3小時平均值最高值發生日期,上午6至9時3小時平均值最低值ppm,上午6至9時3小時平均值最低值發生日期,上午6至9時3小時平均值超過0.20ppm之日數(日),上午6至9時3小時平均值超過0.20ppm之日數(%),上午6至9時3小時平均值超過0.30ppm之日數(日),上午6至9時3小時平均值超過0.30ppm之日數(%)
104年1月,非甲烷碳氫化合物,南港站,2534116A0005,670,0.28,0.28,30,0.65,26,0.07,30,16,53.3,10,33.3
104年1月,非甲烷碳氫化合物,承德站,2534316T0025,677,0.31,0.41,30,0.84,6,0.12,14,26,86.7,18,60
104年1月,非甲烷碳氫化合物,中北站,2533916T0022,692,0.46,0.51,31,1.04,5,0.19,1,29,93.5,29,93.5
104年2月,非甲烷碳氫化合物,南港站,2534116A0005,582,0.17,0.2,27,0.52,12,0.03,28,11,40.7,6,22.2
104年2月,非甲烷碳氫化合物,承德站,2534316T0025,630,0.34,0.44,28,1.13,26,0.1,22,20,71.4,18,64.3
104年2月,非甲烷碳氫化合物,中北站,2533916T0022,616,0.43,0.45,27,0.91,16,0.18,19,26,96.3,22,81.5
104年3月,非甲烷碳氫化合物,南港站,2534116A0005,693,0.15,0.18,31,0.46,30,0.03,1,11,35.5,7,22.6
104年3月,非甲烷碳氫化合物,承德站,2534316T0025,697,0.33,0.42,31,0.84,19,0.15,22,29,93.5,22,71
104年3月,非甲烷碳氫化合物,中北站,2533916T0022,710,0.47,0.52,31,0.91,17,0.2,22,31,100,28,90.3
104年4月,非甲烷碳氫化合物,南港站,2534116A0005,644,0.22,0.3,29,0.58,10,0,1,22,75.9,14,48.3
104年4月,非甲烷碳氫化合物,承德站,2534316T0025,658,0.33,0.42,30,0.74,2,0.19,25,29,96.7,23,76.7
104年4月,非甲烷碳氫化合物,中北站,2533916T0022,681,0.45,0.52,30,0.85,1,0.27,26,30,100,28,93.3
104年5月,非甲烷碳氫化合物,南港站,2534116A0005,654,0.21,0.24,30,0.54,6,0.03,18,17,56.7,8,26.7
104年5月,非甲烷碳氫化合物,承德站,2534316T0025,628,0.41,0.52,31,2.11,6,0.1,23,27,87.1,21,67.7
104年5月,非甲烷碳氫化合物,中北站,2533916T0022,696,0.53,0.59,31,0.93,7,0.21,31,31,100,30,96.8
104年6月,非甲烷碳氫化合物,南港站,2534116A0005,640,0.22,0.25,27,0.45,25,0.1,6,20,74.1,5,18.5
104年6月,非甲烷碳氫化合物,承德站,2534316T0025,674,0.85,0.56,30,1.12,24,0.29,20,30,100,29,96.7
104年6月,非甲烷碳氫化合物,中北站,2533916T0022,658,0.43,0.49,29,0.93,1,0.21,28,29,100,26,89.7
104年7月,非甲烷碳氫化合物,南港站,2534116A0005,686,0.25,0.27,30,0.41,8,0.1,6,25,83.3,12,40
104年7月,非甲烷碳氫化合物,承德站,2534316T0025,685,0.32,0.37,30,0.63,23,0.02,10,28,93.3,20,66.7
104年7月,非甲烷碳氫化合物,中北站,2533916T0022,704,0.44,0.46,31,0.75,29,0.04,10,28,90.3,27,87.1
104年8月,非甲烷碳氫化合物,南港站,2534116A0005,633,0.46,0.48,28,2.3,26,0.1,21,21,75,14,50
104年8月,非甲烷碳氫化合物,承德站,2534316T0025,679,0.4,0.48,30,0.82,19,0.15,8,28,93.3,23,76.7
104年8月,非甲烷碳氫化合物,中北站,2533916T0022,681,0.56,0.84,29,9,2,0.03,8,28,96.6,27,93.1
104年9月,非甲烷碳氫化合物,南港站,2534116A0005,531,0.32,0.35,23,0.56,5,0.16,28,21,91.3,13,56.5
104年9月,非甲烷碳氫化合物,承德站,2534316T0025,641,0.38,0.48,29,0.96,30,0.06,28,25,86.2,24,82.8
104年9月,非甲烷碳氫化合物,中北站,2533916T0022,577,0.49,0.53,27,0.92,3,0,14,24,88.9,21,77.8
104年10月,非甲烷碳氫化合物,南港站,2534116A0005,695,0.17,0.2,31,0.52,1,0.06,25,15,48.4,7,22.6
104年10月,非甲烷碳氫化合物,承德站,2534316T0025,673,0.3,0.39,29,0.87,23,0.14,18,24,82.8,18,62.1
104年10月,非甲烷碳氫化合物,中北站,2533916T0022,676,0.32,0.36,31,0.82,1,0.11,25,27,87.1,19,61.3
104年11月,非甲烷碳氫化合物,南港站,2534116A0005,619,0.21,0.24,26,0.48,18,0.12,24,14,53.8,7,26.9
104年11月,非甲烷碳氫化合物,承德站,2534316T0025,619,0.34,0.43,29,1.04,5,0.08,22,26,89.7,19,65.5
104年11月,非甲烷碳氫化合物,中北站,2533916T0022,606,0.24,0.27,28,0.51,5,0,20,21,75,13,46.4
104年12月,非甲烷碳氫化合物,南港站,2534116A0005,613,0.15,0.16,27,0.39,24,0.04,9,7,25.9,5,18.5
104年12月,非甲烷碳氫化合物,承德站,2534316T0025,668,0.55,0.62,30,1.2,22,0.35,5,30,100,30,100
104年12月,非甲烷碳氫化合物,中北站,2533916T0022,616,0.36,0.44,27,0.78,11,0.09,13,24,88.9,18,66.7
105年1月,非甲烷碳氫化合物,南港站,2534116A0005,630,0.18,0.2,29,0.56,3,0.06,23,7,24.1,5,17.2
105年1月,非甲烷碳氫化合物,承德站,2534316T0025,637,0.58,0.86,30,6.17,29,0.26,31,30,100,28,93.3
105年1月,非甲烷碳氫化合物,中北站,2533916T0022,650,0.2,0.22,30,0.43,4,0.04,31,16,53.3,6,20
105年2月,非甲烷碳氫化合物,南港站,2534116A0005,639,0.16,0.22,27,0.59,22,0.07,29,14,51.9,6,22.2
105年2月,非甲烷碳氫化合物,承德站,2534316T0025,657,0.57,0.62,29,3.95,6,0.14,29,27,93.1,22,75.9
105年2月,非甲烷碳氫化合物,中北站,2533916T0022,658,0.11,0.12,29,0.26,28,0.05,11,2,6.9,0,0
105年3月,非甲烷碳氫化合物,南港站,2534116A0005,700,0.24,0.25,30,0.56,18,0.08,14,16,53.3,10,33.3
105年3月,非甲烷碳氫化合物,承德站,2534316T0025,625,0.5,0.42,29,0.88,18,0.11,20,28,96.6,23,79.3
105年3月,非甲烷碳氫化合物,中北站,2533916T0022,607,0.13,0.14,26,0.39,21,0.05,6,2,7.7,2,7.7
105年4月,非甲烷碳氫化合物,南港站,2534116A0005,594,0.31,0.35,26,0.66,20,0.18,11,25,96.2,15,57.7
105年4月,非甲烷碳氫化合物,承德站,2534316T0025,670,1.28,0.99,27,5.2,16,0.05,22,25,92.6,24,88.9
105年4月,非甲烷碳氫化合物,中北站,2533916T0022,141,0.12,0.16,4,0.23,3,0.1,1,1,25,0,0
105年5月,非甲烷碳氫化合物,南港站,2534116A0005,630,0.251,0.3,27,0.47,2,0.16,14,24,88.9,11,40.7
105年5月,非甲烷碳氫化合物,承德站,2534316T0025,682,0.55,0.77,30,6.88,12,0.03,25,26,86.7,26,86.7
105年5月,非甲烷碳氫化合物,中北站,2533916T0022,611,0.756,0.75,30,1.35,21,0.05,2,25,83.3,25,83.3
105年6月,非甲烷碳氫化合物,南港站,2534116A0005,642,0.24,0.28,30,0.5,15,0.15,27,28,93.3,13,43.3
105年6月,非甲烷碳氫化合物,承德站,2534316T0025,658,0.41,0.37,29,1.8,30,0.11,18,23,79.3,15,51.7
105年6月,非甲烷碳氫化合物,中北站,533916T0022,614,0.94,0.95,28,1.4,6,0.52,18,28,100,28,100
105年7月,非甲烷碳氫化合物,南港站,2534116A0005,697,0.18,0.22,31,0.5,19,0.02,8,21,67.7,7,22.6
105年7月,非甲烷碳氫化合物,承德站,2534316T0025,705,0.39,0.38,31,0.8,30,0.04,8,25,80.7,19,61.3
105年7月,非甲烷碳氫化合物,中北站,2533916T0022,648,0.83,0.88,29,1.1,11,0.52,8,29,100,29,100
105年8月,非甲烷碳氫化合物,南港站,2534116A0005,656,0.22,0.26,29,0.62,5,0.11,22,21,72.41,9,31.03
105年8月,非甲烷碳氫化合物,承德站,2534316T0025,658,0.66,0.75,29,1.24,1,0.17,2,28,96.55,28,96.55
